propId, label, description, count,type
P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person",4,wikibase-item
P1079,launch contractor,organization contracted to launch the rocket,4,wikibase-item
P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held",3,wikibase-item
P108,employer,organization for which the subject works or worked,88183,wikibase-item
P1064,track gauge,spacing of the rails on a railway track,5009,wikibase-item
P1029,crew member,person that participated operating or serving aboard this vehicle,1857,wikibase-item
P1040,film editor,"person who worked with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",831,wikibase-item
P1027,conferred by,person or organization who awards a prize to or bestows an honor upon a recipient,776,wikibase-item
P1056,produces,"the material produced by a mine, an industrial site or a production process",505,wikibase-item
P1075,rector,rector of a university,229,wikibase-item
P111,measured physical quantity,physical property measured by a unit,134,wikibase-item
P1028,donated by,person or organization who donated the object,127,wikibase-item
P1072,readable file format,file format a program can open and read,50,wikibase-item
P1012,including,usually used as a qualifier,11,wikibase-item
P1041,sockets supported,socket for which the electronic part was made,7,wikibase-item
P1034,main food source,"the species, genus or family that an organism depends on for nutrition",3,wikibase-item
P1078,valvetrain configuration,configuration of the valvetrain utilized by this engine,3,wikibase-item
P31,instance of,this item is a specific example and a member of that class,13324704,wikibase-item
P17,country,sovereign state of this item,3064161,wikibase-item
P21,sex or gender,"Sexual identity of  subject. Main: male (Q6581097), female (Q6581072), transgender female (Q1052281),  transgender male (Q2449503). For animals, use male animal (Q44148), female animal (Q43445). For groups of  same gender, use subclass of"" (P279)""",2611401,wikibase-item
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity,2369539,wikibase-item
P735,given name,first name or another given name of this person. Values used with the property shouldn't link disambiguations nor family names.,1896107,wikibase-item
P171,parent taxon,closest parent taxon of the taxon in question,1859849,wikibase-item
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,1463056,wikibase-item
P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative entity,860305,wikibase-item
P19,place of birth,"the most specific known (e.g. city instead of country, or hospital instead of city)",737895,wikibase-item
P161,cast member,"production's cast members; to add the roles, use character role"" (P453) as qualifier""",572590,wikibase-item
P301,category's main topic,primary topic of the subject category,363188,wikibase-item
P54,member of sports team,sports teams or clubs that the subject currently represents or formerly represented,349683,wikibase-item
P20,place of death,"the most specific known (e.g. city instead of country, or hospital instead of city)",339545,wikibase-item
P910,topic's main category,main category of this topic,319704,wikibase-item
P166,award received,"award or recognition received by a person, organisation or creative work",282664,wikibase-item
P69,educated at,educational institution attended by the subject,281109,wikibase-item
P136,genre,genre of a creative work or genre in which an artist works,251784,wikibase-item
P39,position held,subject currently or formerly holds the object position or public office,229555,wikibase-item
P276,location,"location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.",217406,wikibase-item
P279,subclass of,all of these items are instances of those items; this item is a class of that item,215089,wikibase-item
P47,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water",204439,wikibase-item
P155,follows,"The immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit",199210,wikibase-item
P156,followed by,"The immediately following item in some series of which the subject is part. Use P1366 (succeeded by) if the item is replaced, e.g. political offices, states",198917,wikibase-item
P407,language of work,for works (for original language use P364 and for persons P103 and P1412),186032,wikibase-item
P641,sport,sport or discipline in which the entity participates or belongs to,177938,wikibase-item
P1435,heritage status,the heritage status of a historical site,168464,wikibase-item
P1344,participant of,"event a person was a participant in, inverse of P710",145683,wikibase-item
P175,performer,"musician, music group, or other performer associated with this work, actor portraying a character",142689,wikibase-item
P364,original language of work,language in which a work was originally created,130903,wikibase-item
P360,is a list of,this is a list of the following items,118773,wikibase-item
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,110151,wikibase-item
P734,surname,surname or last name of a person,110021,wikibase-item
P703,found in taxon,the taxon in which the molecule or substance can be found,109231,wikibase-item
P495,country of origin,country of origin of the creative work or subject item,107324,wikibase-item
P361,part of,subject is a part of that object,106394,wikibase-item
P57,director,"director(s) of this motion picture, play, video game or similar",95257,wikibase-item
P971,category combines topics,this category combines these two or more topics,78467,wikibase-item
P141,IUCN conservation status,conservation status assigned by the International Union for Conservation of Nature,73328,wikibase-item
P50,author,main creator(s) of a written work,67916,wikibase-item
P463,member of,"part of a specific organization or club. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).",67774,wikibase-item
P7,brother,subject has the object as their brother,64381,wikibase-item
P1412,languages spoken or published,language(s) that a person speaks or writes. Can include native languages,61028,wikibase-item
P40,child,the subject has the object as their biological and/ or legal child,60309,wikibase-item
P61,discoverer or inventor,discovered or invented by,59847,wikibase-item
P180,depicts,depicted entity (see also P921: subject heading),52289,wikibase-item
P607,conflict,"battles, wars or engagements in which the person or item participated",50762,wikibase-item
P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,50391,wikibase-item
P58,screenwriter,author(s) of the screenplay or script for this work,50160,wikibase-item
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)",45812,wikibase-item
P186,material used,material the subject is made of,44497,wikibase-item
P669,located on street,"street, or road, where the item is located. To add the number, use Property:P670 street number"" as qualifier""",44205,wikibase-item
P162,producer,"producer(s) of this film or music work (film: not executive producers, associate producers, etc.)",43630,wikibase-item
P22,father,male parent,43525,wikibase-item
P123,publisher,"organization responsible for publishing books, periodicals or software",41005,wikibase-item
P937,location of creative working,location(s) where the creator was active,40632,wikibase-item
P527,has part,object that is part of this subject,40361,wikibase-item
P195,collection,"art, museum or bibliographic collection the subject is part of",40197,wikibase-item
P421,located in time zone,time zone for this item,39556,wikibase-item
P190,sister city,"twin towns, sister cities, twinned municipalities and other localities",38470,wikibase-item
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language)",38419,wikibase-item
P170,creator,maker of a creative work or other object (where no more specific property exists),37502,wikibase-item
P137,operator,"organization that operates the service, facility, ship, aircraft, missile",36949,wikibase-item
P400,platform,platform for which a work has been developed or released / specific platform version of a software developed,36422,wikibase-item
P119,location of burial,"location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.",34583,wikibase-item
P1343,described by source,dictionary or encyclopaedia where this item is described,33109,wikibase-item
P682,biological process,is involved in the biological process,32246,wikibase-item
P179,series,"the subject is part of a series, whose sum constitutes the object",31754,wikibase-item
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use cohabitant"" for non-married companions""",31651,wikibase-item
P9,sister,subject has the object as their sister (female sibling),30332,wikibase-item
P140,religion,religion of a person or organization (MUST be claimed by the subject or documented by historical sources),28815,wikibase-item
P241,military branch,"the branch to which this military unit, award, or person belongs, e.g. Royal Navy",27526,wikibase-item
P344,director of photography,"person responsible for the framing, lighting and filtration of the subject work",27484,wikibase-item
P272,production company,"company that produced this film, audio or performing arts work",27287,wikibase-item
P127,owned by,owner of the subject,26689,wikibase-item
P403,mouth of the watercourse,the body of water to which the watercourse drains,25680,wikibase-item
P1303,instrument,instrument that a person plays,25238,wikibase-item
P197,adjacent station,"the stations next to this station, sharing the same line(s)",25025,wikibase-item
P509,cause of death,"underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred.  Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide",24422,wikibase-item
P404,game mode,available playing mode(s) in a video game,22916,wikibase-item
P30,continent,"continent of which the subject is a part. Use for countries, locations in Antarctica, and items located in countries that belong to more than one continent, e.g. Russian cities.",21610,wikibase-item
P512,academic degree,academic degree that the person holds,21325,wikibase-item
P176,manufacturer,main manufacturer of this product (excluding sub-contracted manufacturers),20769,wikibase-item
P921,main subject,primary topic of a work,20328,wikibase-item
P800,notable works,subject's notable scientific work or work of art,20118,wikibase-item
P59,constellation,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",19949,wikibase-item
P840,narrative set in,the narrative of this work is set in this location,19372,wikibase-item
P1383,contains settlement,settlement which an administrative division contains,19189,wikibase-item
P16,highway system,system of which the highway is a part,18856,wikibase-item
P460,said to be the same as,"this item is said to be the same as that item, but the statement is disputed",18156,wikibase-item
P149,architectural style,architectural style of a structure or architect,17753,wikibase-item
P25,mother,female parent,16945,wikibase-item
P1464,category for people born here,category item that groups people born in this place,16324,wikibase-item
P36,capital,"location (city, municipality) of governmental seat of the country, or administrative territorial entity",16205,wikibase-item
P178,developer,organisation or person that developed this item,15908,wikibase-item
P159,headquarters location,specific location where an organization's HQ is or has been situated,15039,wikibase-item
P915,filming location,actual place where this scene/film was shot,14572,wikibase-item
P126,maintained by,organization in charge of keeping the subject (for instance an infrastructure) in functioning order,13264,wikibase-item
P413,position played on team,"position the player plays, e.g. Small Forward",13084,wikibase-item
P553,website account on,a website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,12200,wikibase-item
P6,head of government,"head of the executive power of a town, city, municipality, state, country, or other governmental body",11720,wikibase-item
P118,league,league in which the team plays or has played in,11335,wikibase-item
P680,molecular function,represents gene ontology function annotations,11200,wikibase-item
P81,connecting line,railway or public transport line(s) subject is directly connected to,10846,wikibase-item
P710,participant,"person, group of people or organization that actively takes/took part in the event",10715,wikibase-item
P681,cell component,component of the cell in which this item is present,10602,wikibase-item
P437,distribution,method (or type) of distribution for the subject,10506,wikibase-item
P1269,facet of,the main aspect of this topic,9919,wikibase-item
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).",9757,wikibase-item
P135,movement,"literary, artistic or philosophical movement associated with this person or work",9713,wikibase-item
P466,occupant,person or organization occupying a building or facility,9684,wikibase-item
P86,composer,person(s) who wrote the music; also use P676 for lyricist,9407,wikibase-item
P449,original network,network(s) the radio or television show was originally aired on. This does not include later re-runs or additional syndication.,8998,wikibase-item
P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)",8890,wikibase-item
P706,located on terrain feature,"located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).",8417,wikibase-item
P1465,category for people who died here,category item for people who died in this location,8119,wikibase-item
P144,based on,the work(s) used as basis for subject,7815,wikibase-item
P53,noble family,include dynasty and nobility houses,7021,wikibase-item
P793,significant event,significant or notable events associated with the subject,6740,wikibase-item
P814,IUCN protected areas category,protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.,6708,wikibase-item
P1142,political ideology,political ideology of this organization,6446,wikibase-item
P452,industry,industry of company or organization,6408,wikibase-item
P112,founder,"founder or co-founder of the organization, religion or place",6360,wikibase-item
P410,military rank,"military rank achieved by a person (should usually have a start date"" qualifier)""",6273,wikibase-item
P1792,category of associated people,Wikipedia category for people associated with this place,5812,wikibase-item
P1441,present in work,work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information,5766,wikibase-item
P1433,published in,larger work that a given work was published in,5722,wikibase-item
P84,architect,person or architectural firm that designed this building,5470,wikibase-item
P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,5407,wikibase-item
P448,location of spacecraft launch,site or launch pad from where the spacecraft was launched,5390,wikibase-item
P375,space launch vehicle,rocket or other vehicle for launching subject payload into space,5276,wikibase-item
P676,lyrics by,author of song lyrics; also use P86 for music composer,5271,wikibase-item
P289,ship class,ship classification (e.g. Nelson-class battleship),5175,wikibase-item
P366,use,main use of the subject (includes current and former usage),5015,wikibase-item
P816,decays to,what isotope does this radioactive isotope decay to,4875,wikibase-item
P479,input device,input method or device used to interact with a software product,4630,wikibase-item
P97,noble title,royal or noble titles held by the person,4556,wikibase-item
P579,IMA status and/or rank,status given to each mineral by the IMA (International Mineralogical Association),4555,wikibase-item
P708,diocese,administrative division of the church to which the element belongs,4465,wikibase-item
P1456,list of monuments,link to the list of heritage monuments in the place/area,4212,wikibase-item
P287,designer,designer of this item,4187,wikibase-item
P991,successful candidate,person(s) elected after the election,4109,wikibase-item
P551,residence,"the place where the person is, or has been, resident",4102,wikibase-item
P1196,manner of death,"circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident",3873,wikibase-item
P674,characters,"characters which appear in this item (plays, operas, operettas, books...)",3643,wikibase-item
P411,canonization status,stage in the process of attaining sainthood per the subject's religious organization.,3624,wikibase-item
P852,ESRB rating,North American video game content rating - appropriate values are on property's talk page,3472,wikibase-item
P414,stock exchange,exchange on which this company is traded,3436,wikibase-item
P275,license,license under which this copyrighted work is released,3324,wikibase-item
P121,equipment operated,equipment currently or formerly used by subject,3274,wikibase-item
P358,discography,link to discography in artist or band page,3223,wikibase-item
P488,chairperson,"presiding member of an organization, group or body",3222,wikibase-item
P91,sexual orientation,"the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death",3186,wikibase-item
P177,crosses,"obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under",3109,wikibase-item
P376,located on astronomical body,astronomical body on which features or places are situated,3029,wikibase-item
P37,official language,language designated as official by this item,2973,wikibase-item
P908,PEGI rating,European video game rating system - see talk page for appropriate values,2906,wikibase-item
P559,terminus,"the feature (intersecting road, train station, etc.) at the terminus of a linear feature",2778,wikibase-item
P1389,product certification,"certification for a product, qualify with P1001 (applies to jurisdiction"") if needed""",2536,wikibase-item
P1399,convicted of,crime a person was convicted of,2440,wikibase-item
P286,team manager,"on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)",2435,wikibase-item
P520,armament,equippable weapon item for the subject,2352,wikibase-item
P408,software engine,software engine employed by the subject item,2318,wikibase-item
P741,playing hand,hand used to play tennis,2264,wikibase-item
P611,religious order,order of monks or nuns which the monastery housed,2213,wikibase-item
P1313,office held by head of government,political office that is fulfilled by the head of the government of this item,2162,wikibase-item
P113,airline hub,airport that serves as a hub for an airline,2047,wikibase-item
P1200,bodies of water basin category,the category associated with the basin of a bodies of water,1980,wikibase-item
P461,opposite of,item that is the opposite of this item,1959,wikibase-item
P702,encoded by, the gene that encodes some gene product,1955,wikibase-item
P688,encodes,the product of a gene (protein or RNA),1915,wikibase-item
P163,flag,subject's flag,1885,wikibase-item
P684,ortholog,orthologous gene in another species (use with 'species' qualifier),1860,wikibase-item
P566,basionym,"the legitimate, previously published name on which a new combination or name at new rank is based",1838,wikibase-item
P769,significant drug interaction,"a clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.",1837,wikibase-item
P739,ammunition,cartridge or other ammunition used by the subject weapon,1758,wikibase-item
P914,USK rating,German video game content rating - see talk page for appropriate values,1714,wikibase-item
P1321,place of origin (Switzerland),lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence,1687,wikibase-item
P237,coat of arms,subject's coat of arms,1677,wikibase-item
P516,powerplant,equipment or engine used to power the subject,1676,wikibase-item
P1597,Slovene Cultural Heritage designation,type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD),1454,wikibase-item
P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from award received)""",1438,wikibase-item
P306,operating system,operating system (OS) on which a software works; OS installed on hardware,1407,wikibase-item
P750,distributor,distributor of a creative work,1394,wikibase-item
P853,CERO rating,Japanese video game rating system - see talk page for appropriate values,1372,wikibase-item
P1750,name day,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from feast day"" (P:P841)""",1363,wikibase-item
P417,patron saint,patron saint adopted by the subject,1363,wikibase-item
P98,editor,editor of a compiled work such as a book or academic journal,1314,wikibase-item
P371,presenter,someone who takes a main role in presenting a radio or television program,1312,wikibase-item
P747,edition(s),linking to an edition of this item,1275,wikibase-item
P425,field of this profession,activity corresponding to this occupation,1252,wikibase-item
P277,programming language,the programming language(s) in which the software is developed,1241,wikibase-item
P725,voice actor,"the person who dubbed a role of a creative work (like TV series, movie or video game)",1217,wikibase-item
P291,place of publication,geographical place of publication of the edition (use 1st edition when referring to works),1198,wikibase-item
P1740,category for films shot at this location,the object is a category for films shot at/in the subject,1188,wikibase-item
P749,parent company,"a parent company of an organisation, opposite of subsidiaries (P355)",1164,wikibase-item
P556,crystal system,type of crystal for crystal coumpounds,1128,wikibase-item
P608,exhibition history,exhibitions where the item was displayed,1105,wikibase-item
P206,located next to body of water,lake or river,1066,wikibase-item
P1346,winner,winner of an event,1047,wikibase-item
P767,contributor,person or organization that contributed in the creation of a creative work,1046,wikibase-item
P765,surface played on,the surface on which the tournament is played,998,wikibase-item
P629,edition or translation of,is an edition or translation of this text,988,wikibase-item
P1204,portal's main topic,primary topic of this portal,986,wikibase-item
P38,currency,currency used by item,980,wikibase-item
P1192,connecting service,service stopping at a station,969,wikibase-item
P397,astronomical body,major astronomical body the item belongs to,963,wikibase-item
P1366,succeeded by,"Person or state or item who replaces another in an office, position, etc. Use P156 (followed by) if the item is not replaced, e.g. books in a series",930,wikibase-item
P1312,has facet polytope,"facet of a polytope, in the next-lower dimension",928,wikibase-item
P658,tracklist,songs contained in this item,927,wikibase-item
P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,919,wikibase-item
P1151,topic's main portal,Wikimedia portal associated with this topic,902,wikibase-item
P470,Eight Banner register,Manchu household register for people of the Qing Dynasty,893,wikibase-item
P282,writing system,"alphabet, character set or other system of writing used by subject language",891,wikibase-item
P451,cohabitant,"someone with whom the person is in a relationship without being married. Use spouse"" for married couples.""",881,wikibase-item
P462,color,color of subject,862,wikibase-item
P972,catalog,"catalogue for the item, or, as a qualifier of P528, catalogue for which the number is valid",860,wikibase-item
P944,Code of nomenclature,the Code that governs the scientific name of this taxon,814,wikibase-item
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",807,wikibase-item
P609,terminus location,location of the terminus of a linear feature,792,wikibase-item
P1340,eye color,color of the irises of a person's eyes,783,wikibase-item
P143,imported from,source of this claim's value (use only in References section),765,wikibase-item
P740,location of formation,location where a group or organization was formed,741,wikibase-item
P398,child astronomical body,the minor body that belongs to the item,727,wikibase-item
P35,head of state,official with the highest formal authority in a country,703,wikibase-item
P355,subsidiaries,"subsidiary of a company or organization, opposite of parent company (P749)",703,wikibase-item
P841,feast day,saint's principal feast day,682,wikibase-item
P552,handedness,handedness of the person,680,wikibase-item
P664,organizer,person or institution organizing an event,650,wikibase-item
P1365,replaces,"Person, state or other item who was replaced in an office, position, etc.. Use P167 (structure replaced by) for structures. Use P155 (follows) if the previous item was not replaced and predecessor and successor are identical.",636,wikibase-item
P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,632,wikibase-item
P122,basic form of government,the subject's government,628,wikibase-item
P183,endemic to,sole location or habitat type where the taxon lives,616,wikibase-item
P802,student,notable student(s) of a person,598,wikibase-item
P530,diplomatic relation,diplomatic relations of the country,583,wikibase-item
P1576,lifestyle,"typical way of life of an individual, group, or culture",580,wikibase-item
P1382,coincident with,"an object that is partially part of, but not fully part of (P361), the subject",572,wikibase-item
P88,commissioned by,person or organization that commissioned this work,565,wikibase-item
P880,CPU,central processing unit found within the subject item,563,wikibase-item
P85,anthem,name of the subject's anthem,540,wikibase-item
P837,day in year for periodic occurrence,when a specific holiday or periodic event occurs. Can be used as property or qualifier,531,wikibase-item
P427,taxonomic type,"the type genus of this family (or subfamily, etc), or the type species of this genus (or subgenus, etc)",527,wikibase-item
P1654,wing configuration,configuration of wing(s) used by an aircraft,509,wikibase-item
P1533,family name identical to this first name,last name that is the same as a given first name. Use on items for given names.,501,wikibase-item
P199,business division,divisions of this organization,467,wikibase-item
P726,candidate,person or party listed as an option for office in an election,467,wikibase-item
P485,archives at,the institution holding the subject's archives,462,wikibase-item
P1434,describes the fictional universe,"the subject is a work describing a fictional universe, ie where the plot occurs in this universe.",441,wikibase-item
P200,lake inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",436,wikibase-item
P87,librettist,author of the libretto (words) of an opera,434,wikibase-item
P941,inspired by,the work which inspired this creative work,425,wikibase-item
P655,translator,people or organisation who translated this,420,wikibase-item
P1629,subject item of this property,item corresponding exactly to the concept represented by the property (use in statements on properties),415,wikibase-item
P1454,legal form,legal form of an organization,405,wikibase-item
P974,tributary,stream or river that flows into this main stem (or parent) river or a lake,405,wikibase-item
P720,asteroid spectral type,"spectral classifications of asteroids based on  spectral shape, color, and albedo",370,wikibase-item
P826,tonality,key of a musical composition,370,wikibase-item
P1201,space tug,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory",365,wikibase-item
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. Heidegger has influence Aristotle"".  Inverse of 'influence of' (P738).""",362,wikibase-item
P193,main building contractor,the main organization responsible for construction of this structure or building,358,wikibase-item
P201,lake outflow,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",353,wikibase-item
P832,public holiday,"official public holiday that occurs in this place, usually a non-working day",347,wikibase-item
P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization,338,wikibase-item
P805,subject of,(qualifier only) item detailing the relation established by the statement,334,wikibase-item
P610,highest point,"point with highest elevation in the country, region, city, town or area",330,wikibase-item
P157,killed by,person who killed the subject,329,wikibase-item
P450,astronaut mission,space mission that the subject is or has been a member of (do not include future missions),327,wikibase-item
P748,appointed by,"who appointed the person to the office, can be used as a qualifier",315,wikibase-item
P189,location of discovery,where the item was located when discovered,306,wikibase-item
P263,official residence,the residence at which heads of government and other senior figures officially reside,305,wikibase-item
P78,top-level domain,Internet domain name system top-level code,304,wikibase-item
P522,type of orbit,orbit a satellite has around its central body,302,wikibase-item
P1322,dual to,"dual of a polytope, graph or curve",273,wikibase-item
P1560,given name version for other gender,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one",264,wikibase-item
P588,coolant,substance used by the subject to dissipate excess thermal energy,264,wikibase-item
P631,structural engineer,"person, group or organisation responsible for the structural engineering of a building or structure",258,wikibase-item
P825,dedicated to,person or organization to whom the subject was dedicated,255,wikibase-item
P92,main regulatory text,text setting the main rules by which the subject is regulated,253,wikibase-item
P562,central bank/issuer,central bank or other issuing authority for the currency,250,wikibase-item
P185,doctoral student,doctoral student(s) of a professor,249,wikibase-item
P589,point group,crystal subdivision,247,wikibase-item
P1403,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published,246,wikibase-item
P114,airline alliance,the alliance the airline belongs to,244,wikibase-item
P945,allegiance,"the country (or other power) that the person, or organization, served",239,wikibase-item
P1420,taxon synonym,synonym(s) of the taxon name,231,wikibase-item
P612,mother house,name of the mother house,231,wikibase-item
P1462,standards body,body or organisation responsible for publication and maintenance of standard,221,wikibase-item
P636,route of administration,"path by which a drug, fluid, poison, or other substance is taken into the body",221,wikibase-item
P738,influence of,"this person, idea, etc. informs that other person, idea, etc., e.g. Aristotle influence of Heidegger"".  Inverse of 'influenced by' (P737).""",218,wikibase-item
P134,has dialect,dialects of this language (a single language may be linked to many dialects),217,wikibase-item
P1731,Fach,describes the special ablilites of an operatic singers voice,214,wikibase-item
P1791,category of people buried here,Wikipedia category for people with a burial site within this area,202,wikibase-item
P736,cover artist,"name of person or team creating cover artwork for album, single, book, etc.",194,wikibase-item
P467,legislated by,indicates that an act or bill was passed by a legislature.  The value can be a particular session of the legislature,188,wikibase-item
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat",187,wikibase-item
P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B",186,wikibase-item
P885,origin of the watercourse,main source of a river or stream,183,wikibase-item
P624,guidance system,guidance system of a missile,178,wikibase-item
P618,source of energy,describes the source of energy an animated object (machine or animal) uses,170,wikibase-item
P828,has cause,"underlying cause, thing that ultimately resulted in this effect.  See 'Help:Modeling causes' for usage notes.",165,wikibase-item
P1753,list related to category,Wikimedia list equivalent to a Wikimedia category,164,wikibase-item
P1754,category related to list,Wikimedia category equivalent to a Wikimedia list,163,wikibase-item
P598,commander of,"for persons who are notable as commanding officers, the units they commanded",162,wikibase-item
P878,avionics,"notable sensors, electronics, and other avionics installed in the subject aircraft",162,wikibase-item
P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",161,wikibase-item
P205,basin country,countries that have drainage to/from or border the lake,161,wikibase-item
P1431,executive producer,executive producer of a movie or TV show,158,wikibase-item
P1423,template's main topic,primary topic of the subject template or infobox,157,wikibase-item
P501,enclave within,territory is entirely surrounded by the other (enclaved),155,wikibase-item
P1716,brand,brand of a product,149,wikibase-item
P542,officially opened by,person that officially opened the event,144,wikibase-item
P406,soundtrack album,album that incorporates music directly recorded from the soundtrack of a film or video game,141,wikibase-item
P1308,officeholder,person who holds an office,136,wikibase-item
P483,recorded at,studio where a musical composition was recorded,136,wikibase-item
P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person",134,wikibase-item
P66,ancestral home,place of origin for ancestors of subject,131,wikibase-item
P1283,filmography,list of films a person has contributed to,128,wikibase-item
P1414,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface,127,wikibase-item
P1427,journey origin,"starting place of this journey, flight, voyage, trek, etc. (excl. spaceflight launch)",121,wikibase-item
P1419,shape,geometric shape of an object,118,wikibase-item
