source property 	 item with same label 	  label 	 description
P1209	Q218834	Cn	Wikipedia disambiguation page

P1210	Q1079988	Supercharger	null
P1210	Q2299166	Supercharger	Machine Head album
P1210	Q7643113	Supercharger	Wikipedia disambiguation page

P1215	Q124313	apparent magnitude	measure of brightness for celestial objects, as seen from Earth

P1227	Q4811658	Astronomical filter	null

P123	Q2085381	publisher	person or company that prints and distributes pressed goods
P123	Q2116417	Publisher	Wikimedia disambiguation page
P123	Q2516866	publisher	person heading a publishing house, normally the owner or founder

P1236	Q448114	Parsons code	notation describing a piece of music by its melody motion

P1243	Q1148336	International Standard Recording Code	null

P1247	Q828137	compression ratio	null

P1261	Q492230	Rundata	null

P1278	Q6517388	Legal Entity Identifier	20-digit, alpha-numeric reference string to uniquely identify a legally distinct entity

P1279	Q2755356	inflation rate	null

P1281	Q7953796	WOEID	geographic identifier created by Yahoo

P1283	Q1371849	filmography	list of films related by some criteria

P1285	Q18927195	Munzinger Sport	null

P1290	Q223973	godparent	person who sponsors a child's baptism

P1295	Q899670	emissivity	null

P1300	Q25754	Bibcode	code used to identify references in certain astronomical data systems

P1303	Q17508154	Instrument	album by To Rococo Rot
P1303	Q225829	instrument	Wikipedia disambiguation page

P1304	Q66344	central bank	public institution that manages a state's currency, money supply, and interest rates

P1317	Q36424	floruit	period of time during which something (such as a person, school, movement, or species) was active

P1340	Q23786	eye color	color of eyes

P1346	Q11862752	Winner	surname
P1346	Q1757631	Winner	Wikipedia disambiguation page
P1346	Q18560095	winner	null
P1346	Q1992478	Winner	Pet Shop Boys
P1346	Q2104521	Winner	null
P1346	Q8025584	Winner	null
P1346	Q8025585	Winner	null
P1346	Q8025586	Winner	null
P1346	Q8025587	Winner	movie 2003
P1346	Q8025588	Winner	null
P1346	Q8025589	Winner	card game
P1346	Q930440	Winner	city in South Dakota, United States of America

P1347	Q16861376	military casualty classification	terms used by militaries to describe the nature of casualties

P1349	Q118406	Ploidy	number of sets of chromosomes in a cell

P135	Q1149963	movement	mechanism of a clock or watch
P135	Q11883301	Movement	song
P135	Q1624097	Movement	The Gossip album
P135	Q1933604	Movement	a 1981 music album by the post-punk band New Order
P135	Q3326911	Movement	Wikipedia disambiguation page
P135	Q6926575	Movement	Joe Harriott album
P135	Q6926576	Movement	9mm Parabellum Bullet album
P135	Q6926579	Movement	null
P135	Q929848	movement	self-contained part of a musical composition or musical form

P1352	Q16691131	ranking	null
P1352	Q526719	ranking	relationship between items in a set

P136	Q15758743	Genre	journal
P136	Q483394	genre	category of creative works based on stylistic criteria
P136	Q5533535	Genre	1996 Live-action/animated short film
P136	Q5533538	Genre	Wikipedia disambiguation page
P136	Q5533543	Genre	magazine

P1362	Q2416247	Theaterlexikon der Schweiz	Swiss theatre dictionary

P137	Q1206110	operator	symbol associated to a computation in a programming language, often associated to a mathematical operation
P137	Q131030	operator	mapping from one vector space or module to another in mathematics
P137	Q17017159	Operator	null
P137	Q1970438	operator	null
P137	Q2003689	Operator	term in genetics
P137	Q228588	Operator	Wikipedia disambiguation page
P137	Q2597952	operator	function acting on the space of physical states in physics
P137	Q3354090	Operator	extension for the Mozilla Firefox web browser
P137	Q3354588	operator	symbol associated with a mathematical operation in a language or mathematical formalism
P137	Q7097827	Operator	single by Midnight Star
P137	Q7097828	Operator	Motown song
P137	Q7097831	Operator	American post-grunge band
P137	Q7097832	Operator	term in generative grammar
P137	Q7097833	Operator	play by David Williamson
P137	Q7097834	Operator	sternwheeler

P1389	Q16155280	Product certification	null

P1393	Q1432581	Proxy	Variable used in statistics
P1393	Q1517802	proxy	null
P1393	Q17076685	Proxy	null
P1393	Q19799788	Proxy	null
P1393	Q2000285	Proxy	null
P1393	Q2078331	PROXY	character in Star Wars
P1393	Q416543	Proxy	Wikipedia disambiguation page
P1393	Q7252885	Proxy	null

P140	Q7311113	Religion	Wikimedia disambiguation page
P140	Q7311114	Religion	null
P140	Q7311115	Religion	journal
P140	Q9174	religion	supernatural belief system

P1401	Q956086	Bug tracking system	null

P1406	Q17321709	script directionality	direction in which a script is written

P1416	Q2620373	Affiliation	null
P1416	Q382466	Affiliation	Wikipedia disambiguation page

P1419	Q207961	shape	form of an object or its external boundary
P1419	Q2277096	Shape	null
P1419	Q2543696	Shape	song by Sugababes
P1419	Q3077457	shape	aspect of an object in art
P1419	Q7390163	SHAPE	Wikipedia disambiguation page
P1419	Q7489215	shape	in Go, the positional qualities of a group of stones
P1419	Q7489216	Shape	album by Frente!
P1419	Q7489217	Shape	character in Marvel Comics
P1419	Q7489218	Shape	Wikipedia disambiguation page

P1429	Q218271	PET	Wikipedia disambiguation page
P1429	Q39201	pet	animal kept for companionship and a person's enjoyment
P1429	Q7171527	Pet	null

P1431	Q1053574	executive producer	null

P1432	Q1106104	B-Side	null
P1432	Q4833690	B-Side	null

P1437	Q15916459	plea	answer to a claim made by someone in a criminal case under common law using the adversarial system
P1437	Q15966571	Plea	genus of Hemiptera
P1437	Q18510862	Plea	null

P1442	Q4163030	Grave picture	null

P1449	Q15622880	nickname	internet
P1449	Q49614	nickname	secondary name that something is given

P1457	Q159653	absolute magnitude	null
P1457	Q4669778	Absolute Magnitude	science fiction magazine

P1458	Q271860	color index	null

P1471	Q2121171	reporting mark	alphabetic code ID used on the North American railroad network

P1476	Q12339454	title	name for a creative work
P1476	Q18164480	Title	extended play (EP) by Meghan Trainor
P1476	Q18224722	Title	Meghan Trainor song
P1476	Q18341896	Title	album by Meghan Trainor
P1476	Q18786740	Title	null
P1476	Q216353	title	prefix or suffix added to someone's name in certain contexts
P1476	Q228087	Title	Wikipedia disambiguation page
P1476	Q4189293	title	null
P1476	Q7810033	Title	null
P1476	Q7810034	title	command in various command line interpreters
P1476	Q783521	title	the title of a book, or any other published text or work of art
P1476	Q785411	title	legal term for a bundle of rights in a piece of property

P149	Q32880	architectural style	specific method of construction, characterized by the features that make it notable

P1543	Q168346	monogram	motif made by overlapping two or more letters
P1543	Q6901603	Monogram	null
P1543	Q6901604	Monogram	Wikipedia disambiguation page

P1546	Q1429148	motto	null
P1546	Q1659140	motto	null
P1546	Q236944	Motto	Wikipedia disambiguation page
P1546	Q3325366	Motto	null
P1546	Q42470	motto	short sentence expressing a motivation

P1549	Q217438	demonym	name for a resident of a locality

P155	Q19109859	Follows	null
P155	Q5464798	Follows	Wikipedia disambiguation page

P1568	Q11235244	domain	domain (mathematical analysis)
P1568	Q146481	domain	taxonomic rank
P1568	Q200975	Domain	Wikipedia disambiguation page
P1568	Q2851442	Domain	null
P1568	Q3034360	Domain	null
P1568	Q3712788	Domain	band
P1568	Q5289798	domain	null

P1571	Q199006	codomain	null

P1576	Q1599334	Lifestyle	null
P1576	Q32090	lifestyle	typical way of life of an individual, group, or culture
P1576	Q346799	Lifestyle	Wikipedia disambiguation page
P1576	Q6545483	Lifestyle	null
P1576	Q6545484	Lifestyle	null

P1579	Q4881266	Beilstein Registry Number	unique identifier for organic chemical compounds in the Beilstein database

P1591	Q159394	defendant	null

P1592	Q12737510	prosecutor	null
P1592	Q600751	prosecutor	supreme representative of the prosecution (of the state)

P1593	Q1182593	Defender	1980 video game
P1593	Q1608246	Defender	null
P1593	Q247001	Defender	Wikipedia disambiguation page
P1593	Q336286	defender	association football position played near the player's own goal
P1593	Q5251314	Defender	null
P1593	Q5251317	Defender	class of patrol boat
P1593	Q591150	Defender	null
P1593	Q727700	Defender	null

P1594	Q11309876	Judge	1987-1991 manga series
P1594	Q12965499	Judge	null
P1594	Q16533	judge	official who presides over court proceedings
P1594	Q3067066	Judge	a manga series
P1594	Q3187947	Judge	defunct American weekly magazine
P1594	Q513910	Judge	New York-based straight edge band
P1594	Q5583975	Judge	Wikipedia disambiguation page
P1594	Q6302455	judge	arbiter in a debate competition
P1594	Q6302456	Judge	science fiction novel by Karen Traviss
P1594	Q6302457	Judge	surname

P1595	Q1424805	charge	term in heraldry
P1595	Q16245536	Charge	album by David Ford
P1595	Q5074241	Charge	album by Machel Montano
P1595	Q5074242	Charge	TV series
P1595	Q5074243	charge	bugle call
P1595	Q5074246	charge	underage person under the supervision of a nobleman
P1595	Q5074247	Charge	very short fanfare played typically at sporting events
P1595	Q543461	charge	military maneuver in battle
P1595	Q681245	Chargé	commune in Indre-et-Loire, France
P1595	Q73792	charge	physical quantity
P1595	Q77076	Charge	Wikipedia disambiguation page

P1596	Q2068602	penalty	punishment for breaking the rules in ice hockey
P1596	Q237891	Penalty	Wikipedia disambiguation page
P1596	Q2746733	Penalty	null
P1596	Q2749168	Penalty	null
P1596	Q7162172	Penalty	null
P1596	Q7162176	Penalty	null
P1596	Q7162177	Penalty	null
P1596	Q788517	penalty	disciplinary sanction in rugby football

P1598	Q4231232	consecrator	bishop who makes a person into a priest or another bishop

P1603	Q16182051	number of cases	null

P1604	Q898943	biosafety level	level of the biocontainment precautions required to isolate dangerous biological agents

P161	Q3297652	cast member	actor dancer or singer who performs in a theatrical production, movie or TV program

P1611	Q18518822	NATO code for grade	NATO Code for Grades of Military Personnel

P162	Q13235160	producer	person producing goods or services
P162	Q19689939	Producer	null
P162	Q27887	Producer	Wikimedia disambiguation page

P1620	Q468489	plaintiff	null

P1624	Q18572216	MarineTraffic Port ID	Unique indentifier for ports and harbours, in the MarineTraffic database

P163	Q11992695	flag	hook attached to the stem of a written note that assigns its rhythmic value
P163	Q1374036	Flag	one or more bits that are used to store a binary value or code that has an assigned meaning, but can refer to uses of other data type
P163	Q1392130	Flag	null
P163	Q14660	flag	piece of fabric with a distinctive design
P163	Q297187	Flag	Wikipedia disambiguation page
P163	Q3746323	Flag	null
P163	Q5456606	Flag	null
P163	Q5456609	Flag	null
P163	Q5456610	Flag	null
P163	Q5456612	Flag	a painting by Jasper Johns, made in 1954–1955
P163	Q5456615	Flag	null
P163	Q8563541	flag	sequence of faces of a polytope

P1632	Q903232	Hermann–Mauguin notation	null

P1635	Q1417657	religious name	given name bestowed for a religious purpose

P1637	Q15694042	undercarriage	Wikipedia disambiguation page

P1638	Q1170216	working title	temporary name of a product of creative work used during its development

P1640	Q15716394	Curator	journal
P1640	Q15874132	curator	exhibition curator
P1640	Q674426	curator	manager or overseer, typically of a cultural heritage institution

P1641	Q11723008	port	left side of a ship in direction of travel
P1641	Q16881341	Port	null
P1641	Q19040892	Port	null
P1641	Q2057758	Port	Wikimedia disambiguation page
P1641	Q2443617	Port	null
P1641	Q326776	Port	commune in Ain, France
P1641	Q44782	port	location on a coast or shore containing one or more harbors
P1641	Q552258	port	small medical appliance that is installed beneath the skin
P1641	Q68197	Port	municipality in the canton of Bern in Switzerland
P1641	Q731068	Porț	village in Sălaj County, Romania
P1641	Q858321	port	communications endpoint in a computer's host operating system

P1652	Q202648	referee	person of authority, in a variety of sports, who is responsible for presiding over the game from a neutral point of view
P1652	Q2234405	referee	null
P1652	Q2859667	Referee	null
P1652	Q537243	Referee	Wikipedia disambiguation page
P1652	Q721051	Referee	null
P1652	Q7307096	Referee	artwork by Tom Queoff
P1652	Q7307098	Referee	null

P1654	Q2992500	wing configuration	null

P1659	Q7445582	See also	Wikipedia disambiguation page

P1661	Q12062411	Alexa Rank	website traffic metric

P1662	Q18340367	DOI Prefix	Unique identifier specific to a DOI registrant

P1680	Q1135389	subtitle	null
P1680	Q204028	Subtitle	null
P1680	Q3502689	Subtitle	American rapper
P1680	Q7632230	Subtitle	Wikipedia disambiguation page

P1683	Q1309142	Quote	Disambiguation page
P1683	Q2181471	Quote	Dutch magazine

P1684	Q15936635	Inscription	Wordsworth
P1684	Q1640824	inscription	null

P1687	Q18616576	Wikidata property	null

P169	Q484876	chief executive officer	highest-ranking corporate officer or administrator

P17	Q11070708	Country	null
P17	Q1754454	Country	1984 American film
P17	Q353073	Country	Wikipedia disambiguation page
P17	Q5177190	Country	music album by Anne Murray
P17	Q5177191	Country	book by Nick Tosches
P17	Q6256	country	distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics

P170	Q1139373	Creator	1985 film directed by Ivan Passer
P170	Q14326950	Creator	Wikipedia disambiguation page
P170	Q18105270	Creator	null
P170	Q2500638	creator	person who does creative work
P170	Q5183603	Creator	null
P170	Q5183604	Creator	debut single by American artist Santigold
P170	Q5183605	Creator	null

P1703	Q134624	pollination	process by which pollen is transferred from the anther to the stigma of plants
P1703	Q18610661	Pollination	painting by Lee Krasner

P1704	Q7225605	Pollenizer	null

P1710	Q1228663	Sächsische Biografie	historical encyclopedia on the history of people from Saxony

P1714	Q18575559	Journalisted ID	Identifier for a person whse work is listed on Journalisted 

P1716	Q19086581	Brand	null
P1716	Q19086587	Brand	null
P1716	Q19086593	Brand	null
P1716	Q19086596	Brand	null
P1716	Q19086602	Brand	null
P1716	Q19086609	Brand	null
P1716	Q19086614	Brand	null
P1716	Q19086623	Brand	null
P1716	Q19086630	Brand	null
P1716	Q19111625	Brand	null
P1716	Q2660511	Brand	null
P1716	Q431289	brand	name, term, design, symbol, or any other feature that identifies one seller's good or service
P1716	Q701019	Brand	village in Austria
P1716	Q705752	Brand	municipality in the district of Tirschenreuth in Bavaria, Germany
P1716	Q897716	Brand	family name
P1716	Q897728	Brand	null
P1716	Q897731	Brand	Wikipedia disambiguation page
P1716	Q897735	Brand	null

P172	Q41710	ethnic group	socially defined category of people who identify with each other

P1725	Q4877282	Beats Per Minute	null
P1725	Q743895	beats per minute	null

P1731	Q1748957	Fach	null

P1747	Q5460396	Flora of China	Wikipedia disambiguation page
P1747	Q5460399	Flora of China	null

P175	Q10348623	Performer	Wikimedia disambiguation page
P175	Q16010345	performer	null
P175	Q7168273	Performer	role of the Keirsey Temperament Sorter

P1750	Q216584	Name day	null

P1752	Q10858537	scale	proportional ratio of a linear dimension of a model to the same feature of the original
P1752	Q16155171	Scale	null
P1752	Q17989467	Scale	null
P1752	Q188488	scale	small rigid plate that grows out of an animal's skin
P1752	Q193642	scale	ratio of a distance on the map to the corresponding distance on the ground
P1752	Q1959825	scale	ordered arrangement of musical tones
P1752	Q3822724	Scale	null
P1752	Q393789	Scale	Wikipedia disambiguation page
P1752	Q7429713	Scale	null
P1752	Q7429714	Scale	music album by Matthew Herbert
P1752	Q7429715	scale	kind of object in descriptive set theory

P176	Q15637082	manufacturer	owner or operator of a factory or manufacturing business

P1760	Q19359000	Aviation Safety Network Wikibase Occurrence	aviation accident reference website

P177	Q1139987	Crosses	commune in Cher, France
P177	Q4036698	Crosses	null
P177	Q5188570	Crosses	Wikipedia disambiguation page
P177	Q5188572	Crosses	null

P178	Q409857	Developer	Wikipedia disambiguation page
P178	Q5266661	Developer	null

P1782	Q2075910	courtesy name	null

P1785	Q706208	temple name	null

P1786	Q696100	posthumous name	null

P1787	Q39646	art-name	null

P1789	Q623279	chief operating officer	null

P179	Q170198	series	sequence of partial sums of a given sequence
P179	Q2917506	series	Wikipedia disambiguation page
P179	Q3025161	series	taxonomic rank
P179	Q312468	series	sequence of rock depositions defining a chronostratigraphic unit
P179	Q7454788	series	year appearing on United States paper currency
P179	Q7454791	series	two or more consecutive games between two baseball teams
P179	Q7725310	series	ordered set of similar objects

P1798	Q2455758	ISO 639-5	international standard for the codification of language families

P18	Q16386253	Image	null
P18	Q1659580	image	facebook
P18	Q185675	Image	Wikimedia disambiguation page
P18	Q19113014	Image	null
P18	Q478798	image	artifact that depicts or records visual perception
P18	Q51151	IMAGE	null
P18	Q6002114	Image	null
P18	Q6002116	Image	null
P18	Q851833	Image	null
P18	Q860530	Image	null
P18	Q860623	image	(of a set or function) in mathematics, the subset of a function's codomain

P1809	Q2490358	choreographer	person who creates choreographies

P1824	Q15945444	Road number	Wikimedia disambiguation page
P1824	Q3241753	road number	number assigned to a stretch of public roadway often dependent on the type of road

P1827	Q1654902	ISWC	Wikipedia disambiguation page

P1829	Q49679	Roud Folk Song Index	a database of songs that have been collected from oral tradition in the English language

P1831	Q398089	Electorate	Wikipedia disambiguation page
P1831	Q5290079	Electorate	null

P184	Q363802	doctoral advisor	professor who supervises the doctoral research of a graduate student

P19	Q1322263	place of birth	place where a person was born

P190	Q7531100	Sister City	fifth episode of the second season of Parks and Recreation

P195	Q10456935	Collection	2002 Arvingarna album
P195	Q1116443	Collection	2012 album of South Korean hip hop girl group 2NE1
P195	Q16246302	Collection	2013 compilation album by Agnes Carlsson
P195	Q16246318	Collection	album by Dave Grusin
P195	Q16246323	Collection	album by Lee Ritenour
P195	Q17008256	collection	data type in computer science
P195	Q18019526	Collection	Album by The Cats
P195	Q2255844	Collection	compilation album written and mostly performed by Mike Oldfield
P195	Q2319150	Collection	greatest hits album by Tracy Chapman
P195	Q2668072	collection	set of purposefully collected or gathered objects
P195	Q2982891	Collection	Wikimedia disambiguation page
P195	Q361873	collection	horse behaviour
P195	Q3682827	Collection	1991 compilation album by Spyro Gyra
P195	Q4356888	Collection	1985 Magnus Uggla album
P195	Q5146074	Collection	album by Joe Sample
P195	Q5146075	Collection	album by Jason Becker
P195	Q5146076	Collection	1996 compilation album by the Canadian pop group Men Without Hats
P195	Q5146077	collection	examination at colleges of the University of Oxford,
P195	Q5146078	Collection	1998 compilation album by the group Praxis
P195	Q5146079	Collection	2007 compilation album by British band The Charlatans
P195	Q5146080	Collection	album by The Jam
P195	Q5146081	Collection	album by The Rankin Family
P195	Q5146082	Collection	compilation album by The Stranglers
P195	Q5146083	Collection	2003 album by New Zealand band The Warratahs
P195	Q5146084	Collection	2001 album by Thee Michelle Gun Elephant
P195	Q5146085	Collection	1997 compilation album by Wynonna Judd
P195	Q5146088	Collection	Irish-bred, Hong Kong based Thoroughbred racehorse

P196	Q6188101	minor planet group	group of minor planets that share orbital characteristics, but that may not be otherwise related

P20	Q18658526	place of death	null

P22	Q10405563	Father	painting by Luo Zhongli
P22	Q19021264	Father	null
P22	Q19021301	Father	null
P22	Q19021306	Father	null
P22	Q19021313	Father	null
P22	Q19021318	Father	null
P22	Q19021328	Father	null
P22	Q19109249	Father	null
P22	Q19109253	Father	null
P22	Q2029179	father	monk who was ordained a priest
P22	Q2877710	Father	film by Wang Shuo
P22	Q3740090	Father	single by LL Cool J
P22	Q394492	Father	Wikipedia disambiguation page
P22	Q5437557	Father	null
P22	Q5437558	Father	null
P22	Q5437559	Father	single by Ms. Dynamite
P22	Q5437560	Father	null
P22	Q6580688	Father	character in Fullmetal Alchemist
P22	Q7565	father	male parent or Individual progenitor of human offspring
P22	Q773110	Father	1966 film

P221	Q153666	ISO 639-6	ISO 4401

P225	Q15730631	taxon name	null

P231	Q102507	CAS registry number	Chemical identifier

P232	Q18087865	EINECS number	null

P233	Q1390261	Smiles	Wikipedia disambiguation page
P233	Q19040676	Smiles	null
P233	Q3963011	Smiles	null
P233	Q7544681	Smiles	null

P237	Q14659	coat of arms	unique heraldic design on a shield or escutcheon
P237	Q277608	Coat of Arms	music album by Sabaton

P239	Q207529	ICAO airport code	null

P241	Q781132	military branch	subdivision of the national armed forces of a sovereign nation or state

P249	Q1548784	ticker symbol	abbreviation used to uniquely identify publicly traded shares

P25	Q1214957	Mother	1926 film
P25	Q128965	Mother	1985 film
P25	Q15953308	Mother	Axel Hirsoux song
P25	Q16251833	Mother	1999 film
P25	Q17052101	Mother	2014 film from Japan
P25	Q17150725	Mother	studio album from Natalie Maines
P25	Q17224441	Mother	film directed by Kaneto Shindo
P25	Q18391251	Mother	1937 comedy film from Hungary
P25	Q19061925	Mother	null
P25	Q19321846	Mother	1910 play by Jules Eckert Goodman
P25	Q2323709	Mother	video game
P25	Q2452661	Mother	John Lennon song
P25	Q2453999	Mother	song by Pink Floyd
P25	Q29816	Mother	film directed by Gleb Panfilov
P25	Q3005765	Mother	1952 film
P25	Q3069261	Mother	opera by Alois Hába
P25	Q3325145	Mother	1996 film
P25	Q348342	Mother	Wikipedia disambiguation page
P25	Q4285422	Mother	1955 film
P25	Q483761	Mother	2009 film
P25	Q5952698	Mother	1991 Iranian drama film
P25	Q6024691	Mother	Era song
P25	Q613962	Mother	TV series
P25	Q6917270	Mother	1914 film
P25	Q6917275	Mother	song by Danzig
P25	Q6917283	Mother	Susumu Yokota album
P25	Q6917284	Mother	Blondie song
P25	Q6917287	Mother	Kubb album
P25	Q6917288	Mother	fictional character in The Avengers TV series
P25	Q6917289	Mother	novel by Owen Wister
P25	Q6917290	Mother	Luna Sea song
P25	Q6917291	Mother	creative advertising agency
P25	Q6917295	Mother	energy drink from Coca-Cola
P25	Q7560	mother	woman who has raised a child, given birth to a child, and/or supplied the ovum that united with a sperm which grew into a child
P25	Q846084	Mother	Luna Sea album

P26	Q1196129	spouse	gender neutral term for a partner in a marriage, civil union, domestic partnership or common-law marriage

P263	Q481289	official residence	organisational residence of an official

P264	Q18127	record label	brand and trademark associated with the marketing of music recordings and music videos

P270	Q15949338	Calis	Wikipedia disambiguation page
P270	Q19693863	Calis	family name
P270	Q249867	Çalış	Wikipedia disambiguation page
P270	Q4819808	Çalış	null
P270	Q5021389	Calis	unincorporated community in Marshall County, West Virginia
P270	Q6493743	Çalış	town in Turkey

P272	Q18002892	production company	provides the physical basis for creative works in the performing arts, film, video or radio

P274	Q83147	chemical formula	information about the proportions of atoms that constitute a particular chemical compound

P275	Q3238071	License	null
P275	Q79719	license	permissions to use something

P276	Q1051594	Location	Wikipedia disambiguation page
P276	Q17334923	location	where something is, relative to some reference, e.g. body parts relative to body, places on earth relative to coordinate system
P276	Q18615086	Location	1143rd strip of the webcomic xkcd
P276	Q6664775	location	term in sign language

P277	Q9143	programming language	language designed to communicate instructions to a machine

P281	Q37447	postal code	series of letters and digits for sorting mail

P282	Q8192	writing system	system of visual symbols recorded on paper or another medium, used to represent elements expressible in language

P287	Q5322166	designer	person who designs

P289	Q559026	ship class	group of ships of a similar design

P291	Q1361759	place of publication	null

P296	Q14565734	Station code	abbreviation used to designate a railway station

P299	Q2725758	ISO 3166-1 numeric	null

P30	Q3688921	Continent	null
P30	Q3688922	Continent	null
P30	Q5107	continent	very large landmass
P30	Q5165221	Continent	Wikipedia disambiguation page
P30	Q5165222	Continent	null
P30	Q5165223	Continent	null

P300	Q133153	ISO 3166-2	null

P304	Q1069725	page	One side of a leaf of paper
P304	Q1227783	Page	Suburb in Canberra, Australia
P304	Q13563379	Page	A surname
P304	Q15471528	Page	given name
P304	Q19021127	Page	null
