id 	 label 	 desc 	 aliases 	 type 	 cluster_labels
P1574	exemplar of	property for manuscripts, autographs, incunabula, distinct printed copies		wikibase-item	Property
P1211	fuel system	fuel system that an engine uses		wikibase-item	Other Topics
P1571	codomain	codomain of a function		wikibase-item	Other Topics
P140	religion	religion of a person or organization (MUST be claimed by the subject or documented by historical sources)	faith, religious affiliation, denomination, life stance	wikibase-item	Person, Subject, Organization, Person or Organization, Source
P263	official residence	the residence at which heads of government and other senior figures officially reside		wikibase-item	Other Topics
P141	IUCN conservation status	conservation status assigned by the International Union for Conservation of Nature		wikibase-item	Other Topics
P169	chief executive officer	highest-ranking corporate officer appointed as the CEO within an organization	CEO, chief executive, ceo	wikibase-item	Organization, Office
P166	award received	award or recognition received by a person, organisation or creative work	prize received, awards, honorary title, recognition title, award, honours, honors, medals	wikibase-item	Person, Creative Work
P287	designer	designer of this item	designed by	wikibase-item	Other Topics
P286	team manager	on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)	manager, club manager, head coach, senior coach	wikibase-item	Team, Sports
P289	ship class	ship classification (e.g. Nelson-class battleship)		wikibase-item	Other Topics
P167	structure replaced by	the item which replaced this building or structure, at the same geographic location	replaced by	wikibase-item	Location, Item is Located
P1568	domain	subset of the input set of a function for which every value has an image		wikibase-item	Value
P1327	professional or sports partner	person a professional or athlete works with		wikibase-item	Person, Sports
P1445	fictional universe described in	to link a fictional universe with a work that describes it: <universe> "described in the work:" <work>		wikibase-item	Other Topics
P1204	portal's main topic	primary topic of this portal		wikibase-item	Topic
P1201	space tug	spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory	payload deliverer, upper stage	wikibase-item	Directly
P1322	dual to	dual of a polytope, graph or curve		wikibase-item	Other Topics
P1202	carries scientific instrument	scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating	scientific equipment, metering equipment	wikibase-item	Other Topics
P1444	journey destination	intended destination for this journey, flight, sailing, exploration, etc.	destination	wikibase-item	Other Topics
P1441	present in work	work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information	from work, from narrative, featured in work	wikibase-item	Entity
P1321	place of origin (Switzerland)	lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence	lieu d'origine, Heimatort, Bürgerort, luogo d'origine	wikibase-item	Place, Origin
P1200	bodies of water basin category	the category associated with the basin of a bodies of water		wikibase-item	Category, Associated
P1560	given name version for other gender	equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one		wikibase-item	Given, Language
P172	ethnic group	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).	ethnicity	wikibase-item	Subject
P175	performer	musician, music group, or other performer associated with this work, actor portraying a character	band, musician, music group, musical artist, group, singer	wikibase-item	Music, Associated
P171	parent taxon	closest parent taxon of the taxon in question	next higher taxon, taxon parent	wikibase-item	Parent
P291	place of publication	geographical place of publication of the edition (use 1st edition when referring to works)	release region, publication region, published in	wikibase-item	Place
P170	creator	maker of a creative work or other object (where no more specific property exists)	artist (non-musical), created by, painter, sculptor, inventor	wikibase-item	Object, Property, Creative Work
P159	headquarters location	specific location where an organization's HQ is or has been situated	head office location, HQ, garrison, admin HQ	wikibase-item	Organization, Location, Office
P279	subclass of	all of these items are instances of those items; this item is a class of that item	rdfs:subClassOf, hyponym of, is a, type of, is a type of, generalized by, generalization, superclass	wikibase-item	Type
P155	follows	The immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit	succeeds to, previous is, before was, predecessor, preceded by, prequel	wikibase-item	Subject, State, Office, Subject Item, Political
P276	location	location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	moveable object location, located in, event location, venue, is in, location of item	wikibase-item	Location, Object, Entity, Administrative, Event, Item is Located
P397	astronomical body	major astronomical body the item belongs to	parent body	wikibase-item	Belongs, Parent
P275	license	license under which this copyrighted work is released	licence	wikibase-item	Other Topics
P157	killed by	person who killed the subject	killer, assassin, murderer, murdered by, executioner, assassinated by, slain by, mortally wounded by, executed by, slaughtered by	wikibase-item	Person, Subject
P399	companion of	two or more astronomic bodies of the same type relating to each other		wikibase-item	Type
P1318	proved by	person who proved something		wikibase-item	Person
P156	followed by	The immediately following item in some series of which the subject is part. Use P1366 (succeeded by) if the item is replaced, e.g. political offices, states	sequel, successor, succeded by, next is	wikibase-item	Subject, State, Office, Subject Item, Political
P277	programming language	the programming language(s) in which the software is developed		wikibase-item	Language, Software
P398	child astronomical body	the minor body that belongs to the item	child body	wikibase-item	Belongs
P1557	manifestation of	this is the physical embodiment of a given concept		wikibase-item	Given
P1678	has vertex figure	the figure exposed when a corner of a polytope is sliced off		wikibase-item	Other Topics
P1558	tempo marking	indication about the speed or pace of a given musical piece		wikibase-item	Given, Music
P1434	describes the fictional universe	the subject is a work describing a fictional universe, ie where the plot occurs in this universe.	describes fictional universe, fictional universe	wikibase-item	Subject
P1313	office held by head of government	political office that is fulfilled by the head of the government of this item	office of head of government, position of head of government	wikibase-item	Office, Political
P1435	heritage status	the heritage status of a historical site	designation, listing, listed status, protected status, protection, legal protection, heritage designation	wikibase-item	Other Topics
P1677	index case of	primary case, patient zero: initial patient in the population of an epidemiological investigation		wikibase-item	Other Topics
P1432	b-side	song/track which is the b-side of this single		wikibase-item	Other Topics
P1433	published in	larger work that a given work was published in	work	wikibase-item	Given
P1312	has facet polytope	facet of a polytope, in the next-lower dimension	facet of a polytope	wikibase-item	Other Topics
P1672	this taxon is source of	links a taxon to natural products it produces. Note that it does not say "this taxon is the source of" or "this taxon is a source of" as this may vary. Some products may be yielded by more than one taxon.		wikibase-item	Source
P1552	has quality	the entity has an inherent or distinguishing non-material characteristic that cannot be migrated	trait, inherent property, attribute, aspect	wikibase-item	Entity, Property
P1431	executive producer	executive producer of a movie or TV show		wikibase-item	Other Topics
P1791	category of people buried here	Wikipedia category for people with a burial site within this area		wikibase-item	Category, Area
P1792	category of associated people	Wikipedia category for people associated with this place		wikibase-item	Place, Category, Associated
P162	producer	producer(s) of this film or music work (film: not executive producers, associate producers, etc.)	record producer	wikibase-item	Music, Associated, Film
P282	writing system	alphabet, character set or other system of writing used by subject language	alphabet	wikibase-item	Subject, Language
P161	cast member	production's cast members; to add the roles, use "character role" (P453) as qualifier	film starring, actor, actress, starring	wikibase-item	Qualifier, Film, Member
P163	flag	subject's flag		wikibase-item	Subject
P189	location of discovery	where the item was located when discovered	findspot, location of discovered object, discovery place, place of discovery	wikibase-item	Location, Place, Object, Item is Located
P1029	crew member	person that participated operating or serving aboard this vehicle		wikibase-item	Person, Member
P1027	conferred by	person or organization who awards a prize to or bestows an honor upon a recipient	awarded by, bestowed by, given by	wikibase-item	Person, Organization, Person or Organization, Given
P1269	facet of	the main aspect of this topic	aspect of, subitem of, topic of, subtopic of	wikibase-item	Topic
P1028	donated by	person or organization who donated the object		wikibase-item	Person, Organization, Object, Person or Organization
P1268	represents organisation	organization that an entity represents		wikibase-item	Organization, Entity, Represents
P1389	product certification	certification for a product, qualify with P1001 ("applies to jurisdiction") if needed		wikibase-item	Qualifier
P1026	doctoral thesis	thesis that someone wrote to obtain a PhD degree		wikibase-item	Other Topics
P1145	Lagrangian point	libration point of an object (default: object-sun-earth)	libration point	wikibase-item	Object
P1387	political alignment	political position within the political spectrum	political position	wikibase-item	Political
P1142	political ideology	political ideology of this organization	ideology	wikibase-item	Organization, Political
P1264	valid in period	time period when a statement is valid	applies to period, time period	wikibase-item	Other Topics
P1382	coincident with	an object that is partially part of, but not fully part of (P361), the subject	partially overlaps, partial concurrency, concurrent with, partially in, concurrency	wikibase-item	Subject, Object, Subject has the Object
P1383	contains settlement	settlement which an administrative division contains		wikibase-item	Administrative
P195	collection	art, museum or bibliographic collection the subject is part of	art collection, museum collection	wikibase-item	Subject
P194	legislative body	legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council	representative body, parliament, council, assembly, diet, legislature, rural council, district council, municipal council, aboriginal council, indigenous council, city council	wikibase-item	Entity, City, Political, Represents
P197	adjacent station	the stations next to this station, sharing the same line(s)	next station, previous station, next stop, neighbouring station	wikibase-item	Station
P196	minor planet group	is in grouping of minor planets according to similar orbital characteristics	asteroid group	wikibase-item	Other Topics
P190	sister city	twin towns, sister cities, twinned municipalities and other localities	twin town, sister cities, sister town, twin cities, twin towns, sister towns, twin city	wikibase-item	City
P193	main building contractor	the main organization responsible for construction of this structure or building	building contractor, built by, constructed by, builder	wikibase-item	Organization
P177	crosses	obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under	bridge over, tunnel under	wikibase-item	Other Topics
P176	manufacturer	main manufacturer of this product (excluding sub-contracted manufacturers)	manufactured by, maker, mfr, built by, builder, made by	wikibase-item	Other Topics
P179	series	the subject is part of a series, whose sum constitutes the object		wikibase-item	Subject, Object, Subject has the Object
P178	developer	organisation or person that developed this item	developed by	wikibase-item	Person
P1018	language regulatory body	regulatory body of a language	regulatory body	wikibase-item	Language
P1137	fossil found in this unit	fossils that are found in this stratigraphic unit		wikibase-item	Other Topics
P1136	solved by	person that solved a scientific question		wikibase-item	Person
P1012	including	usually used as a qualifier		wikibase-item	Qualifier
P1134	(OBSOLETE) located in place (use P276)	location of the item (such as village, neighborhood, park). In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	village, neighborhood, park, locale, is in, location of item	wikibase-item	Location, Place, Entity, Administrative, Item is Located
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	county seat of, county seat for	wikibase-item	Country, State, Administrative
P1013	criterion used	usually used as a qualifier		wikibase-item	Qualifier
P1372	binding of software library	software library in another programming language provided by the subject software binding		wikibase-item	Subject, Language, Software
P184	doctoral advisor	person who supervised the doctorate or PhD thesis of the subject		wikibase-item	Person, Subject
P183	endemic to	sole location or habitat type where the taxon lives	endemism	wikibase-item	Location, Type
P186	material used	material the subject is made of	medium, made from, constructed from, constructed out of, construction material, media, built from, built out of, manufactured from, manufactured out of, crafted from, crafted out of, formed from, formed out of, ingredients, made of	wikibase-item	Subject
P185	doctoral student	doctoral student(s) of a professor		wikibase-item	Other Topics
P180	depicts	depicted entity (see also P921: subject heading)	depiction of, painting of, motif, portrait of, landscape of	wikibase-item	Subject, Entity
P1366	succeeded by	Person or state or item who replaces another in an office, position, etc. Use P156 (followed by) if the item is not replaced, e.g. books in a series	heir, next job holder, successor, after, replaced by	wikibase-item	Person, State, Office
P1001	applies to jurisdiction	the item (an institution, law, ...) belongs to or applies to the value (a jurisdiction: a country, state, municipality, ...)	of jurisdiction, linked to jurisdiction, belongs to jurisdiction, jurisdiction	wikibase-item	Country, State, Value, Belongs
P1365	replaces	Person, state or other item who was replaced in an office, position, etc.. Use P167 (structure replaced by) for structures. Use P155 (follows) if the previous item was not replaced and predecessor and successor are identical.	forefather, previous job holder, replaced, preceded by, succeeds, after, predecessor	wikibase-item	Person, State, Office
P1002	engine configuration	configuration of an engine's cylinders	configuration of engine cylinders	wikibase-item	Other Topics
P1000	record held	notable record achieved by a person or entity, include qualifiers for dates held		wikibase-item	Person, Entity, Qualifier
P1363	points/goal scored by	person who scored a point or goal in a game		wikibase-item	Person, Game
P199	business division	divisions of this organization	divisions	wikibase-item	Organization
P1478	has immediate cause	nearest, proximate thing that directly resulted in this outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.	has immediate causes, immediate cause, immediate effect of, immediate result of, immediate outcome of, has proximate cause	wikibase-item	Directly, Cause
P1479	has contributing factor	thing that significantly influenced, but did not directly cause, this outcome or effect.  Used in conjunction with 'has cause' and 'has immediate cause'.  See 'Help:Modeling causes'.	has contributing factors, contributing factor, significant contributing factor	wikibase-item	Directly, Cause
P1597	Slovene Cultural Heritage designation	type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD)		wikibase-item	Type
P1598	consecrator	bishop who presided as consecrator or co-consecrator of this bishop	consecrated by	wikibase-item	Other Topics
P1595	charge	offence with which someone is charged, at a trial		wikibase-item	Other Topics
P1596	penalty	penalty passed, at a trial		wikibase-item	Other Topics
P1593	defender	Person representing the defendant, at a trial		wikibase-item	Person, Represents
P1594	judge	Judge, magistrate or equivalent, presiding at a trial		wikibase-item	Other Topics
P1591	defendant	person or organization accused, at a trial		wikibase-item	Person, Organization, Person or Organization
P1592	prosecutor	person representing the prosecuting authority, at a trial		wikibase-item	Person, Authority, Represents
P1068	instruction set	instruction set on which the processor architecture is based	ISA	wikibase-item	Other Topics
P1066	student of	person who has taught this person	teacher, professor, pupil of	wikibase-item	Person
P1064	track gauge	spacing of the rails on a railway track	gauge	wikibase-item	Other Topics
P1060	pathogen transmission process	process by which a pathogen is transmitted	transmitted by, transmission process	wikibase-item	Other Topics
P1056	produces	the material produced by a mine, an industrial site or a production process	material produced, ore	wikibase-item	Other Topics
P1299	depicted by	object depicting this subject		wikibase-item	Subject, Object, Subject has the Object
P1057	chromosome	chromosome on which an entity is localized	on chromosome	wikibase-item	Entity
P1050	medical condition	disease or other health problem affecting an individual human or other animal	disability, Paralympic disability, ailment, health problem, disorder, illness, disease	wikibase-item	Other Topics
P1171	approximation algorithm	method used to approximate a number		wikibase-item	Other Topics
P1290	godparent	person who is the godparent of a given person	godfather, godmother	wikibase-item	Person, Given
P1170	transmitted signal	type of signal transmitted by a device	transmits, signal transmitted	wikibase-item	Type
P1049	deity of	religion or group/civilization that worships a given deity		wikibase-item	Given
P1046	discovery method	way an exoplanet was discovered	detection method	wikibase-item	Other Topics
P1165	home world	home world/planet of a fictional race or character	homeworld, planet	wikibase-item	Other Topics
P1283	filmography	list of films a person has contributed to		wikibase-item	Person, Film
P1041	sockets supported	socket for which the electronic part was made	cpu slot, cpu socket	wikibase-item	Other Topics
P1040	film editor	person who worked with the raw footage, selecting shots and combining them into sequences to create a finished motion picture	picture editor, Edited by	wikibase-item	Person, Film
P1038	relative	family member (qualify with "type of kinship", P1039; for direct family member please use specific property)		wikibase-item	Type, Qualifier, Property, Directly, Member
P1399	convicted of	crime a person was convicted of		wikibase-item	Person
P1037	manager/director	person who manages any kind of group		wikibase-item	Person
P1158	location of landing	location where the craft landed	landing site	wikibase-item	Location
P1034	main food source	the species, genus or family that an organism depends on for nutrition	food source, food plant	wikibase-item	Organization, Source
P1035	honorific suffix	word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person	style suffix, post-nominal	wikibase-item	Person
P1398	replaced by structure	building/structure which replaced the subject building or structure at the same location	replacement building	wikibase-item	Subject, Location
P1033	GHS signal word	please use with items "warning" (Q15350847) and "danger" (Q15221217)		wikibase-item	Other Topics
P1393	proxy	person authorized to act for another		wikibase-item	Person, Authority
P1151	topic's main portal	Wikimedia portal associated with this topic		wikibase-item	Associated, Topic
P908	PEGI rating	European video game rating system - see talk page for appropriate values		wikibase-item	Game, Value, Video Game
P805	subject of	(qualifier only) item detailing the relation established by the statement	dedicated item, article, artfor	wikibase-item	Subject, Qualifier, Subject Item
P807	separated from	subject was founded or started by separating from identified object	forked from, schism from, seceded from	wikibase-item	Subject, Object, Subject has the Object
P927	anatomical location	where in the body does this anatomical feature lie	Manoo	wikibase-item	Location
P800	notable works	subject's notable scientific work or work of art	literary works, bibliography, work, works	wikibase-item	Subject
P921	main subject	primary topic of a work	index term, topic of work, main topic, aboutness, about, topic, subject, subject heading	wikibase-item	Subject, Topic
P803	professorship	professorship position held by this academic person		wikibase-item	Person
P924	medical treatment	treatment that might be used to heal the medical condition	therapy, medical therapy, treatment	wikibase-item	Other Topics
P802	student	notable student(s) of a person		wikibase-item	Person
P923	medical examinations	examinations that might be used to diagnose the medical condition	possible examinations, examinations	wikibase-item	Other Topics
P1080	from fictional universe	subject's fictional entity is in the object narrative. See also P1441 and P1445	from universe, universe, featured in universe, appears in universe, fictional universe	wikibase-item	Subject, Object, Entity, Subject has the Object
P6	head of government	head of the executive power of a town, city, municipality, state, country, or other governmental body	mayor, prime minister, premier, first minister, head of national government	wikibase-item	Country, State, City
P7	brother	subject has the object as their brother	has brother, sibling, bro	wikibase-item	Subject, Object, Subject has the Object
P915	filming location	actual place where this scene/film was shot	location of filming, location where filmed, studio where filmed, place of filming, place where filmed	wikibase-item	Location, Place, Film
P9	sister	subject has the object as their sister (female sibling)	has sister, sibling	wikibase-item	Subject, Object, Subject has the Object
P914	USK rating	German video game content rating - see talk page for appropriate values	Unterhaltungssoftware Selbstkontrolle rating	wikibase-item	Game, Value, Video Game
P916	GSRR rating	Taiwanese video game content rating system	CSRR rating, GSRMR rating	wikibase-item	Game, Video Game
P910	topic's main category	main category of this topic	main category, category for this topic	wikibase-item	Category, Topic
P1078	valvetrain configuration	configuration of the valvetrain utilized by this engine		wikibase-item	Other Topics
P1199	mode of inheritance	the manner in which a particular genetic trait or disorder is passed from one generation to the next		wikibase-item	Other Topics
P913	notation	mathematical notation or another symbol		wikibase-item	Other Topics
P912	facility	the subject item has this type of facility, e.g. toilet, car park		wikibase-item	Subject, Type, Subject Item
P1079	launch contractor	organization contracted to launch the rocket	launch service provider	wikibase-item	Organization
P1074	fictional analog of	used to link a class of items appearing in a creative work with the analogous class of objects in the real world		wikibase-item	Object, Creative Work
P1196	manner of death	circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident	circumstance of death, type of death	wikibase-item	Person, Type, Event, Value, Cause
P1075	rector	rector of a university		wikibase-item	Other Topics
P1072	readable file format	file format a program can open and read		wikibase-item	Other Topics
P1073	writable file format	file format a program can create and/or write to		wikibase-item	Other Topics
P1194	received signal	signals detected by a machine		wikibase-item	Other Topics
P1071	location of final assembly	place where the item was made; location of final assembly	assembly location, place built, place made	wikibase-item	Location, Place, Item is Located
P1192	connecting service	service stopping at a station		wikibase-item	Station
P942	theme music	the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)		wikibase-item	Person, Event, Team, Music, Film, Sports
P941	inspired by	the work which inspired this creative work	source of inspiration	wikibase-item	Source, Creative Work
P706	located on terrain feature	located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).	takes place in, location, on geographical feature, on natural feature, is on, is in	wikibase-item	Location, Place, Country, State, Administrative, Value, Political
P826	tonality	key of a musical composition	musical key, key of musical composition	wikibase-item	Music
P708	diocese	administrative division of the church to which the element belongs		wikibase-item	Administrative, Belongs
P828	has cause	underlying cause, thing that ultimately resulted in this effect.  See 'Help:Modeling causes' for usage notes.	causes, cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, has reason, reason, caused by	wikibase-item	Cause
P707	satellite bus	general model on which multiple-production satellite spacecraft is based		wikibase-item	Other Topics
P823	speaker	someone who takes a role as speaker in events like keynotes or presentations		wikibase-item	Event
P702	encoded by	 the gene that encodes some gene product		wikibase-item	Other Topics
P944	Code of nomenclature	the Code that governs the scientific name of this taxon		wikibase-item	Other Topics
P822	mascot	mascot of an organization, e.g. a sports team or university		wikibase-item	Organization, Team, Sports
P943	programmer	coder for a piece of software or a digital creative work such as a video game		wikibase-item	Game, Creative Work, Video Game, Software
P825	dedicated to	person or organization to whom the subject was dedicated		wikibase-item	Person, Subject, Organization, Person or Organization
P945	allegiance	the country (or other power) that the person, or organization, served		wikibase-item	Person, Organization, Country, Person or Organization
P703	found in taxon	the taxon in which the molecule or substance can be found	species	wikibase-item	Other Topics
P931	place served by airport	city or region served by this airport	serves city, city served	wikibase-item	Place, City
P930	type of electrification	electrification system scheme and/or voltage		wikibase-item	Type
P937	location of creative working	location(s) where the creator was active	workplace, work location	wikibase-item	Location, Creative Work
P816	decays to	what isotope does this radioactive isotope decay to		wikibase-item	Other Topics
P817	decay mode	type of decay that a radioactive isotope undergoes (should be used as a qualifier for "decays to")		wikibase-item	Type, Qualifier
P812	academic major	major someone studied at college/university		wikibase-item	Other Topics
P811	academic minor	minor someone studied at college/university		wikibase-item	Other Topics
P814	IUCN protected areas category	protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.		wikibase-item	Category, Area
P720	asteroid spectral type	spectral classifications of asteroids based on  spectral shape, color, and albedo		wikibase-item	Type
P841	feast day	saint's principal feast day		wikibase-item	Other Topics
P840	narrative set in	the narrative of this work is set in this location	setting location	wikibase-item	Location
P607	conflict	battles, wars or engagements in which the person or item participated	war, battle	wikibase-item	Person
P609	terminus location	location of the terminus of a linear feature	destination, departure point	wikibase-item	Location
P608	exhibition history	exhibitions where the item was displayed		wikibase-item	Other Topics
P726	candidate	person or party listed as an option for office in an election		wikibase-item	Person, Office
P725	voice actor	the person who dubbed a role of a creative work (like TV series, movie or video game)	voice dubber, dubbed by, VO, Seiyu, voiced by, CV	wikibase-item	Person, Game, Creative Work, Video Game
P832	public holiday	official public holiday that occurs in this place, usually a non-working day	bank holiday, legal holiday, national holiday	wikibase-item	Place
P710	participant	person, group of people or organization that actively takes/took part in the event	artist, artists, performer, performers, participants, athlete, athletes, attendee, player, team, competitor, candidate, party, event participant, agent	wikibase-item	Person, Organization, Event, Person or Organization, Team
P831	parent club	parent club of this team	parent team, major league affiliate, affiliate of	wikibase-item	Team, Parent
P837	day in year for periodic occurrence	when a specific holiday or periodic event occurs. Can be used as property or qualifier	day of periodic occurrence, day in year, day, date	wikibase-item	Qualifier, Event, Property
P834	train depot	depot which serves this railway line, not public stations	railway depot, depot	wikibase-item	Station
P833	interchange station	station to which passengers can transfer to from this station, normally without extra expense	OSI, out of station interchange	wikibase-item	Station
P16	highway system	system of which the highway is a part		wikibase-item	Other Topics
P17	country	sovereign state of this item	sovereign state, nation	wikibase-item	Country, State
P19	place of birth	the most specific known (e.g. city instead of country, or hospital instead of city)	birthplace, born in, POB, birth place, location born, born at, birth location, location of birth	wikibase-item	Location, Place, Country, City
P500	exclave of	territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.		wikibase-item	Political
P741	playing hand	hand used to play tennis		wikibase-item	Played
P744	asteroid family	population of asteroids that share similar proper orbital elements		wikibase-item	Other Topics
P501	enclave within	territory is entirely surrounded by the other (enclaved)	enclaved by	wikibase-item	Other Topics
P1704	pollenizer	source of pollen for an animal		wikibase-item	Source
P740	location of formation	location where a group or organization was formed	originates from, comes from, source, place of foundation, founded in	wikibase-item	Organization, Location, Place, Source, Origin
P1703	pollination	process that moves pollen from the male anthers of a flower to the female stigma of a flower to accomplish fertilization	pollination by	wikibase-item	Other Topics
P629	edition or translation of	is an edition or translation of this text	edition of, translation of	wikibase-item	Other Topics
P749	parent company	a parent company of an organisation, opposite of subsidiaries (P355)	subsidiary of, owned by	wikibase-item	Parent
P509	cause of death	underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred.  Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide	death cause	wikibase-item	Category, Cause
P504	home port	home port of the vessel (if different from "ship registry"): For civilian ships, the primary port from which the ship operates. Port of registry (the one painted on the stern) should be listed in "Ship registry". For warships, this will be the ship's assigned naval base	homeport	wikibase-item	Other Topics
P624	guidance system	guidance system of a missile		wikibase-item	Other Topics
P748	appointed by	who appointed the person to the office, can be used as a qualifier		wikibase-item	Person, Qualifier, Office
P21	sex or gender	Sexual identity of  subject. Main: male (Q6581097), female (Q6581072), transgender female (Q1052281),  transgender male (Q2449503). For animals, use male animal (Q44148), female animal (Q43445). For groups of  same gender, use "subclass of" (P279)	gender identity, gender expression, gender, biological sex, man, woman, male, female, intersex, sex	wikibase-item	Subject
P20	place of death	the most specific known (e.g. city instead of country, or hospital instead of city)	deathplace, died in, death place, POD, location of death, death location	wikibase-item	Location, Place, Country, City
P505	general manager	general manager of a sports team		wikibase-item	Team, Sports
P868	foods traditionally associated	foods consumed during the ceremony or associated with a certain settlement		wikibase-item	Associated
P747	edition(s)	linking to an edition of this item	has edition, editions	wikibase-item	Other Topics
P22	father	male parent	dad, son of, has father, daughter of, child of	wikibase-item	Parent
P25	mother	female parent	mum, mom, mam, has mother, son of, daughter of, child of	wikibase-item	Parent
P27	country of citizenship	the object is a country that recognizes the subject as its citizen	citizenship, nationality, citizen of	wikibase-item	Subject, Object, Country, Subject has the Object
P26	spouse	the subject has the object as their spouse (husband, wife, partner, etc.). Use "cohabitant" for non-married companions	husband, wife, married to, consort, partner	wikibase-item	Subject, Object, Subject has the Object
P610	highest point	point with highest elevation in the country, region, city, town or area	highest peak	wikibase-item	Country, City, Area
